#OTU ID	14748.MOUSE34.CAGE16.FSPFB6.S15	14748.MOUSE10.CAGE3.FSPF3XTG.S15	14748.MOUSE17.CAGE1.FSPF3XTG.S15	14748.MOUSE13.CAGE6.FSPFB6.S15	14748.MOUSE14.CAGE6.FSPFB6.S15	14748.MOUSE33.CAGE12.FSPF3XTG.S15	14748.MOUSE9.CAGE3.FSPF3XTG.S15	14748.MOUSE35.CAGE16.FSPFB6.S15	14748.MOUSE50.CAGE50.FSPF3XTG.S7	14748.MOUSE56.CAGE53.FSPF3XTG.S7	14748.MOUSE53.CAGE50.FSPF3XTG.S7	14748.MOUSE58.CAGE53.FSPF3XTG.S7	14748.MOUSE19.CAGE2.FSPF3XTG.S15	14748.MOUSE51.CAGE50.FSPF3XTG.S7	14748.MOUSE59.CAGE54.FSPFB6.S7	14748.MOUSE60.CAGE54.FSPFB6.S7	14748.MOUSE89.CAGE22.FSPF3XTG.S12	14748.MOUSE32.CAGE12.FSPF3XTG.S15	14748.MOUSE87.CAGE21.FSPF3XTG.S12	14748.MOUSE11.CAGE6.FSPFB6.S15	14748.MOUSE18.CAGE1.FSPF3XTG.S15	14748.MOUSE54.CAGE50.FSPF3XTG.S7	14748.MOUSE106.CAGE70.MSPF3XTG.S7	14748.MOUSE117.CAGE62.FSPF3XTG.S7	14748.MOUSE55.CAGE53.FSPF3XTG.S7	14748.MOUSE116.CAGE62.FSPF3XTG.S7	14748.MOUSE105.CAGE69.MSPF3XTG.S7	14748.MOUSE72.CAGE20.FSPF3XTG.S12	14748.MOUSE126.CAGE40.MSPF3XTG.S12	14748.MOUSE90.CAGE22.FSPF3XTG.S12	14748.MOUSE79.CAGE27.FSPFB6.S12	14748.MOUSE77.CAGE27.FSPFB6.S12	14748.MOUSE88.CAGE21.FSPF3XTG.S12	14748.MOUSE61.CAGE54.FSPFB6.S7	14748.MOUSE102.CAGE68.MSPF3XTG.S7	14748.MOUSE104.CAGE69.MSPF3XTG.S7	14748.MOUSE78.CAGE27.FSPFB6.S12	14748.MOUSE113.CAGE74.MSPFB6.S7	14748.MOUSE110.CAGE74.MSPFB6.S7	14748.MOUSE80.CAGE27.FSPFB6.S12	14748.MOUSE81.CAGE27.FSPFB6.S12	14748.MOUSE137.CAGE46.MSPFB6.S12	14748.MOUSE103.CAGE68.MSPF3XTG.S7	14748.MOUSE134.CAGE45.MSPFB6.S12	14748.MOUSE111.CAGE74.MSPFB6.S7	14748.MOUSE115.CAGE62.FSPF3XTG.S7	14748.MOUSE132.CAGE42.MSPF3XTG.S12	14748.MOUSE130.CAGE41.MSPF3XTG.S12	14748.MOUSE143.CAGE66.FSPFB6.S12	14748.MOUSE144.CAGE66.FSPFB6.S12	14748.MOUSE84.CAGE20.FSPF3XTG.S12	14748.MOUSE145.CAGE66.FSPFB6.S12	14748.MOUSE138.CAGE46.MSPFB6.S12	14748.MOUSE36.CAGE16.FSPFB6.S15	14748.MOUSE16.CAGE7.FSPFB6.S15	14748.MOUSE12.CAGE6.FSPFB6.S15	14748.MOUSE108.CAGE73.MSPFB6.S7	14748.MOUSE128.CAGE41.MSPF3XTG.S12	14748.MOUSE127.CAGE40.MSPF3XTG.S12	14748.MOUSE52.CAGE50.FSPF3XTG.S7	14748.MOUSE15.CAGE7.FSPFB6.S15	14748.MOUSE85.CAGE20.FSPF3XTG.S12	14748.MOUSE139.CAGE46.MSPFB6.S12	14748.MOUSE107.CAGE70.MSPF3XTG.S7	14748.MOUSE129.CAGE41.MSPF3XTG.S12	14748.MOUSE109.CAGE73.MSPFB6.S7	14748.MOUSE141.CAGE47.MSPFB6.S12	14748.MOUSE140.CAGE47.MSPFB6.S12	14748.MOUSE86.CAGE21.FSPF3XTG.S12	14748.MOUSE112.CAGE74.MSPFB6.S7	14748.MOUSE114.CAGE74.MSPFB6.S7	14748.MOUSE135.CAGE45.MSPFB6.S12	14748.MOUSE136.CAGE45.MSPFB6.S12	14748.MOUSE133.CAGE42.MSPF3XTG.S12	14748.MOUSE131.CAGE42.MSPF3XTG.S12
"K03980 -  murJ, mviN; putative peptidoglycan lipid II flippase"	0	60	31	199	135	176	38	2	6	16	17	75	2	9	27	77	57	0	147	31	40	109	0	2	104	16	153	131	113	6	59	121	175	93	215	46	33	103	57	372	700	0	121	20	2228	38	896	0	0	45	44	277	392	16	10	44	68	68	40	20	49	101	61	337	5	14	551	286	331	42	121	23	48	81	7886
K03981 -  dsbC; thiol:disulfide interchange protein DsbC [EC:5.3.4.1]	0	31	6	5	8	66	16	0	6	0	4	4	1	1	0	1	39	0	77	10	12	30	0	0	25	8	27	52	60	4	0	0	101	2	150	22	0	2	2	0	2	1	74	0	4	29	61	0	0	12	31	21	6	0	6	7	7	29	20	3	4	54	0	73	0	8	0	0	1	0	0	0	2	44	297
K04013 -  nrfB; cytochrome c-type protein NrfB	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
K04014 -  nrfC; protein NrfC	0	32	2	0	4	94	20	0	2	8	2	25	1	7	0	12	38	0	48	4	10	16	0	1	45	12	27	36	45	1	35	5	56	13	142	10	0	17	18	3	4	0	62	1	24	20	27	0	0	3	29	6	16	0	9	4	7	24	18	6	0	24	5	56	0	14	8	10	1	4	7	5	0	15	219
K04015 -  nrfD; protein NrfD	0	17	7	2	4	75	11	0	7	8	4	13	0	5	0	9	49	0	60	1	12	26	0	0	29	13	20	24	61	3	43	12	104	8	87	17	0	8	10	0	0	0	59	0	8	16	36	0	0	4	24	9	32	0	6	5	9	25	10	4	8	28	6	91	1	2	2	4	2	4	4	6	4	34	172
K04016 -  nrfE; cytochrome c-type biogenesis protein NrfE	0	0	0	0	0	81	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75
K04017 -  nrfF; formate-dependent nitrite reductase complex subunit NrfF	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
K04018 -  nrfG; formate-dependent nitrite reductase complex subunit NrfG	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
K04019 -  eutA; ethanolamine utilization protein EutA	0	0	0	0	4	89	0	0	6	4	0	0	0	4	0	0	0	0	0	3	6	7	0	1	16	0	0	0	0	0	0	0	0	0	3	0	10	0	0	2	6	0	4	0	4	0	4	0	0	0	4	0	15	0	0	0	0	5	0	0	0	0	1	0	0	0	0	2	34	0	2	0	2	3	56
K04020 -  eutD; phosphotransacetylase	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
K04021 -  eutE; aldehyde dehydrogenase	0	0	0	0	0	69	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39
K04022 -  eutG; alcohol dehydrogenase	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
K04023 -  eutH; ethanolamine transporter	0	0	2	2	11	65	0	1	0	0	0	10	0	0	31	4	0	0	0	2	6	0	0	1	3	0	0	0	0	0	2	2	1	21	0	1	0	0	2	6	22	0	2	2	2	0	6	0	0	0	0	10	16	2	0	2	0	2	0	0	2	0	0	0	0	4	4	10	2	0	0	1	7	0	62
K04024 -  eutJ; ethanolamine utilization protein EutJ	0	0	0	14	2	37	2	0	0	0	0	124	0	0	2	0	0	0	0	0	0	0	0	0	13	0	14	0	0	0	0	2	0	15	2	4	2	1	0	4	14	0	0	13	6	0	2	0	0	0	1	0	18	9	0	5	0	3	0	2	4	2	16	3	1	0	4	2	6	2	8	2	54	0	13
K04025 -  eutK; ethanolamine utilization protein EutK	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
K04026 -  eutL; ethanolamine utilization protein EutL	0	0	0	0	0	42	4	0	4	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	8	0	0	1	0	0	2	0	0	0	0	0	10	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	7	0	0	0	0	0	15
K04027 -  eutM; ethanolamine utilization protein EutM	0	0	6	24	7	43	11	0	2	9	0	192	0	0	11	6	1	0	3	2	18	0	0	2	25	0	21	0	2	0	22	4	2	24	4	1	14	2	5	10	25	0	10	16	17	0	9	0	0	2	20	6	10	0	0	3	0	3	6	2	2	2	28	4	0	0	10	2	113	2	4	14	86	0	23
K04028 -  eutN; ethanolamine utilization protein EutN	0	0	2	6	4	36	4	3	0	0	0	16	0	0	4	2	1	0	0	2	8	2	0	0	7	0	4	0	0	0	6	2	0	2	0	6	3	1	4	0	8	0	6	0	1	0	3	0	0	0	3	2	2	2	0	0	0	0	2	0	13	1	5	0	3	0	0	0	48	4	0	0	7	0	2
K04029 -  eutP; ethanolamine utilization protein EutP	0	0	2	14	2	49	6	2	0	2	0	71	0	0	5	4	0	0	0	2	27	0	0	0	4	0	10	0	0	0	7	0	6	6	0	0	4	2	0	4	22	0	8	12	3	0	11	0	0	0	5	0	13	0	0	10	0	0	3	0	4	0	11	0	0	1	1	6	73	0	0	2	37	0	25
K04030 -  eutQ; ethanolamine utilization protein EutQ	0	0	0	0	0	47	0	0	0	2	0	6	0	0	0	0	2	0	2	0	0	0	0	0	2	0	8	0	0	0	0	2	0	0	4	0	6	2	0	0	8	0	0	0	4	0	0	0	0	0	5	4	17	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	2	0	4	0	9	3	19
K04031 -  eutS; ethanolamine utilization protein EutS	0	0	4	4	1	36	5	1	0	9	2	44	0	0	3	0	0	0	2	2	21	1	0	1	4	0	17	0	1	1	2	4	4	7	0	0	2	0	2	2	17	0	1	4	7	0	16	0	0	0	4	2	7	4	2	3	2	3	9	0	10	4	10	1	0	1	0	10	113	0	0	0	9	0	17
K04032 -  eutT; ethanolamine utilization cobalamin adenosyltransferase [EC:2.5.1.154]	0	0	0	0	0	48	9	0	0	4	0	2	0	0	0	0	0	0	0	0	0	5	0	0	11	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	23	0	0	2	0	0	2	0	0	4	2	0	0	0	0	2	15	0	0	0	0	0	23
"K04033 -  eutR; AraC family transcriptional regulator, ethanolamine operon transcriptional activator"	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
K04034 -  bchE; anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase [EC:1.21.98.3]	2	34	137	136	117	6	349	4	60	89	48	64	6	34	106	86	381	0	786	149	303	178	0	21	278	0	138	0	273	32	100	170	442	4	1115	14	20	142	339	90	140	0	64	66	154	2	248	0	0	56	85	14	34	30	273	124	9	177	259	158	173	4	59	218	5	14	342	145	3	97	185	64	66	205	42
"K04041 -  fbp3; fructose-1,6-bisphosphatase III [EC:3.1.3.11]"	139	512	1605	1121	1149	160	1296	148	343	773	1337	1388	90	691	835	1433	1268	0	1862	750	986	1374	1	100	3018	817	1501	1533	2399	65	583	1072	722	2398	1443	168	300	552	841	433	639	0	494	1047	800	1826	823	0	0	1170	272	1539	1576	487	824	964	832	952	1021	904	1968	1076	1699	2725	4	423	975	1797	487	575	878	1451	1330	3342	1445
K04042 -  glmU; bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]	9	102	67	172	88	313	172	13	186	47	34	480	7	15	12	61	85	0	290	17	45	355	0	2	379	27	232	214	173	4	59	36	616	116	544	58	36	144	65	86	172	0	210	16	1398	51	1114	0	0	13	78	94	272	125	8	10	55	264	93	425	69	338	20	350	10	20	140	382	455	79	88	62	53	153	3984
"K04043 -  dnaK, HSPA9; molecular chaperone DnaK"	127	1229	1782	1476	1416	642	2134	188	696	785	1651	2045	111	767	823	1243	2078	1	3024	1286	1632	2031	0	129	3865	1030	1719	1597	3251	72	701	1372	2248	1841	3764	273	374	1055	1383	1115	1897	0	840	1295	3227	1631	2569	0	0	1066	535	1532	1942	509	1382	1221	833	1396	1586	1458	2347	1647	1707	2792	25	385	1910	2446	1278	794	1100	1399	1412	2856	7916
K04044 -  hscA; molecular chaperone HscA	0	45	2	21	8	115	27	0	14	12	24	24	1	19	2	10	89	0	107	10	23	54	0	0	72	21	76	91	129	4	52	24	181	24	163	20	2	24	28	0	2	0	115	2	46	58	112	0	0	15	47	29	64	2	8	7	12	45	49	18	12	91	0	173	0	26	15	8	19	18	8	8	2	49	436
K04045 -  hscC; molecular chaperone HscC	5	0	0	22	12	0	19	4	10	17	0	26	1	2	8	0	2	0	0	5	34	8	0	1	5	0	8	0	3	0	15	3	3	4	0	0	35	2	0	10	29	0	25	14	1	0	25	0	0	0	18	2	34	11	1	2	0	2	32	8	0	10	15	5	0	12	4	2	298	2	2	6	101	0	8
K04046 -  yegD; hypothetical chaperone protein	0	2	0	0	2	90	2	0	0	0	0	0	0	12	0	0	0	0	2	2	2	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	4	6	0	0	0	0	15	0	0	0	2	0	0	0	7	0	0	0	0	2	24
K04047 -  dps; starvation-inducible DNA-binding protein	1	13	4	10	8	58	23	5	18	4	11	93	0	7	3	6	3	0	34	0	16	86	0	2	148	7	12	27	12	0	0	0	96	25	41	10	2	0	3	4	35	0	12	0	16	15	43	0	0	3	6	0	17	33	2	3	1	37	8	78	2	48	3	6	0	0	6	9	102	14	2	0	7	19	175
K04061 -  flhB2; flagellar biosynthesis protein	0	0	1	4	0	0	8	0	0	2	0	24	0	0	6	2	0	0	0	3	13	3	0	1	1	0	1	0	0	1	10	6	1	3	0	3	4	0	0	17	7	0	5	6	1	0	19	0	0	0	21	7	2	1	5	2	2	5	5	0	0	4	2	2	0	2	2	0	53	2	2	0	25	0	2
K04062 -  osmB; osmotically inducible lipoprotein OsmB	16	95	17	131	212	28	33	4	1	195	202	34	9	157	136	196	199	0	419	139	67	335	0	3	824	78	20	255	366	6	111	300	217	320	592	20	81	212	240	98	72	0	81	27	102	293	142	0	0	190	21	82	191	36	176	264	100	21	152	241	261	88	160	313	1	84	0	7	24	191	221	20	20	284	275
"K04063 -  osmC, ohr; lipoyl-dependent peroxiredoxin [EC:1.11.1.28]"	0	0	0	0	0	43	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
K04064 -  osmE; osmotically inducible lipoprotein OsmE	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K04065 -  osmY; hyperosmotically inducible periplasmic protein	0	18	2	6	4	76	11	0	0	0	2	6	0	2	0	4	26	0	30	6	4	17	0	0	30	3	12	31	30	0	20	2	47	6	53	20	0	0	4	0	2	0	40	0	0	8	27	0	0	6	7	7	18	0	1	0	13	14	13	3	2	13	0	41	0	4	2	4	2	0	2	2	0	15	208
K04066 -  priA; primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:5.6.2.4]	185	1161	2151	1799	1895	584	2645	237	783	1200	1959	2180	117	1002	1096	1874	2721	1	4496	1615	1825	2560	1	192	4840	1179	2010	2269	4472	120	1039	1708	2705	2730	5156	281	381	1245	1851	1283	1813	0	985	1494	3003	2039	2415	0	0	1841	694	2025	2360	757	1954	1572	1163	1623	2257	1979	3149	1736	2482	3910	24	507	2363	2912	1239	1039	1524	1812	1784	4321	7441
K04067 -  priC; primosomal replication protein N''	0	473	0	5	45	57	501	0	2	6	2	2	0	6	12	20	419	0	3	482	0	5	0	0	38	137	0	0	1134	0	22	7	0	34	0	4	0	1	3	4	5	0	5	97	0	1	31	0	0	27	28	46	30	7	260	14	10	5	556	0	454	0	38	2	0	5	7	47	34	4	7	37	35	18	392
K04068 -  nrdG; anaerobic ribonucleoside-triphosphate reductase activating protein [EC:1.97.1.4]	23	162	327	311	316	153	384	26	145	154	264	367	14	171	201	285	395	0	717	243	240	425	0	22	795	174	219	416	699	13	174	259	505	360	736	53	57	230	296	152	210	0	132	222	729	320	292	0	0	282	139	311	347	113	308	236	143	238	350	389	490	264	386	594	6	88	283	437	265	217	222	240	314	686	1577
"K04069 -  pflA, pflC, pflE; pyruvate formate lyase activating enzyme [EC:1.97.1.4]"	63	224	588	604	653	562	641	93	224	530	616	874	33	329	590	718	840	0	1281	409	665	748	0	26	1985	355	690	1067	1066	66	379	873	876	1207	1538	111	197	551	633	688	891	0	345	471	2170	821	411	1	0	646	261	901	1169	306	494	538	395	399	646	671	1107	523	832	1443	17	232	1193	1449	915	407	594	776	619	1255	3234
K04070 -  pflX; putative pyruvate formate lyase activating enzyme [EC:1.97.1.4]	1	6	18	45	6	21	19	2	4	8	14	36	0	0	23	5	6	0	6	6	85	5	0	2	53	0	61	4	0	2	33	8	14	4	17	2	15	0	6	12	61	0	28	15	116	4	56	0	0	0	48	39	36	3	2	3	1	34	23	10	6	8	12	13	5	7	12	8	185	11	11	6	60	1	64
K04072 -  adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]	21	96	93	201	88	573	208	29	373	25	37	399	10	11	117	68	64	0	383	0	14	570	1	13	557	0	391	213	140	4	8	54	881	217	435	43	25	100	19	95	321	0	148	2	1332	38	579	0	0	10	73	38	312	274	14	4	70	407	140	971	55	495	22	276	20	10	344	227	671	160	145	23	88	120	4947
K04073 -  mhpF; acetaldehyde dehydrogenase [EC:1.2.1.10]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K04074 -  divIVA; cell division initiation protein	6	32	27	83	34	85	87	5	119	0	4	87	0	2	29	36	26	0	109	6	5	137	0	1	150	2	87	51	34	1	5	26	278	51	89	25	4	30	7	33	130	0	53	2	643	12	214	0	0	2	23	17	134	80	8	10	20	110	52	246	2	133	3	65	5	6	133	104	190	44	45	5	33	49	2216
"K04075 -  tilS, mesJ; tRNA(Ile)-lysidine synthase [EC:6.3.4.19]"	57	395	804	792	901	358	929	81	355	437	482	1052	35	412	398	728	870	0	1315	664	600	998	0	43	2192	390	626	940	1679	38	414	725	1054	1073	1330	141	229	483	536	604	811	0	317	502	1847	835	855	0	0	691	358	811	1118	354	531	557	480	520	872	847	1240	673	994	1468	7	186	597	1200	825	441	549	579	636	1351	3962
"K04077 -  groEL, HSPD1; chaperonin GroEL"	108	1051	1269	1322	1447	908	1575	99	512	861	1505	1973	78	779	835	1300	1958	0	3191	1254	1024	2144	0	117	4056	780	1408	1669	2968	86	782	1511	2193	2009	4482	255	310	1084	1502	1054	2152	1	1017	798	2270	1385	2236	1	0	1071	521	1320	1467	503	1299	1178	816	1695	1548	1618	2011	1836	1747	2659	28	375	1255	1914	1120	867	1127	925	1084	2898	6437
"K04078 -  groES, HSPE1; chaperonin GroES"	10	196	175	156	176	178	225	17	100	127	200	195	12	141	94	144	223	0	377	114	134	279	0	19	573	122	143	250	408	16	104	150	255	217	526	43	36	100	143	133	362	0	163	118	262	167	291	0	0	120	48	192	169	75	154	155	105	220	180	172	341	280	181	342	4	47	129	242	193	101	114	113	127	354	891
"K04079 -  HSP90A, htpG; molecular chaperone HtpG"	111	941	1530	1165	1431	217	2005	152	452	822	1507	1521	78	915	933	1485	1926	0	3239	1149	1338	1712	0	122	3440	1018	1278	1572	3571	105	766	1123	1740	1923	3737	235	319	877	1320	934	1355	0	701	1274	1954	1586	2096	0	1	1303	515	1682	1540	398	1353	1180	766	1133	1641	1090	2365	1209	2043	2735	7	480	1294	2134	1402	835	1017	1479	1309	3404	3386
K04080 -  ibpA; molecular chaperone IbpA	0	0	0	0	0	28	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
K04081 -  ibpB; molecular chaperone IbpB	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	17
"K04082 -  hscB, HSCB, HSC20; molecular chaperone HscB"	0	0	0	1	5	35	3	0	0	2	0	6	0	2	0	2	17	0	28	5	5	9	0	0	14	8	19	5	32	0	6	2	34	12	43	10	0	0	0	2	0	0	20	4	4	13	29	0	0	10	20	7	4	0	0	2	2	15	9	1	0	26	2	41	0	5	2	0	0	4	0	2	0	15	106
K04083 -  hslO; molecular chaperone Hsp33	8	34	37	112	53	163	150	12	150	39	21	395	1	6	24	37	72	0	213	22	113	170	0	4	233	2	100	137	109	4	72	16	434	66	294	36	19	75	26	99	157	0	136	12	640	47	198	0	0	19	126	65	143	97	10	16	16	157	82	285	28	202	19	163	2	21	56	259	435	45	33	69	137	48	868
"K04084 -  dsbD, dipZ; thioredoxin:protein disulfide reductase [EC:1.8.4.16]"	107	376	1229	899	1046	159	886	83	265	527	915	644	62	610	563	1052	915	0	1459	670	569	1084	0	81	2283	692	598	1215	2204	52	409	768	530	1534	1373	118	168	515	831	347	426	0	390	734	319	1283	374	0	0	891	175	1035	1109	294	652	866	653	599	815	647	1548	783	1519	1936	2	358	542	1244	105	543	733	869	696	2452	1070
"K04085 -  tusA, sirA; tRNA 2-thiouridine synthesizing protein A [EC:2.8.1.-]"	0	211	20	24	47	36	66	1	6	14	208	50	6	158	9	25	16	0	15	37	175	246	0	5	185	142	58	30	91	2	5	3	24	54	20	18	0	6	3	3	2	0	30	16	11	222	261	0	0	6	44	20	17	3	53	164	4	24	8	66	58	13	37	18	2	15	3	36	133	3	22	6	3	15	101
K04086 -  clpL; ATP-dependent Clp protease ATP-binding subunit ClpL	12	60	68	139	51	260	167	16	284	32	36	450	6	6	12	53	49	0	239	2	8	439	0	5	486	0	235	141	97	1	2	2	817	188	279	46	2	37	14	40	136	0	126	8	144	41	267	0	0	0	77	0	19	215	9	1	34	337	106	877	23	381	0	122	12	0	12	48	410	94	62	11	64	99	958
K04087 -  hflC; modulator of FtsH protease HflC	0	35	10	12	3	81	25	2	6	4	8	20	0	2	2	10	34	0	67	3	7	25	0	0	57	6	17	41	48	2	49	7	85	16	97	12	5	7	6	12	13	0	64	2	17	12	34	0	0	8	50	14	33	4	2	6	2	12	19	2	12	38	4	57	1	9	4	19	6	6	4	8	23	27	189
K04088 -  hflK; modulator of FtsH protease HflK	2	31	23	3	5	110	26	0	19	11	17	30	0	13	0	8	70	0	90	13	22	42	0	0	65	12	50	66	107	7	79	10	164	5	157	27	3	8	14	6	24	0	85	9	25	26	67	0	0	23	68	30	55	0	15	17	4	28	52	9	8	74	13	139	0	10	22	9	4	20	4	12	54	50	418
K04090 -  E1.2.7.8; indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"K04091 -  ssuD, msuD; alkanesulfonate monooxygenase [EC:1.14.14.5 1.14.14.34]"	0	0	0	0	0	53	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	62	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
K04092 -  tyrA1; chorismate mutase [EC:5.4.99.5]	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	6	0	0	6	0	0	2	4	2	0	2	0	0	3	4	6	26	0	2	0	189	0	41	0	0	0	0	7	22	0	0	2	15	0	2	0	0	2	2	9	0	1	35	13	8	0	5	2	0	0	590
K04093 -  pheA1; chorismate mutase [EC:5.4.99.5]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0
"K04094 -  trmFO, gid; methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]"	8	40	32	77	58	120	103	7	108	18	6	152	2	0	50	10	17	0	162	12	20	175	0	1	33	0	121	103	47	0	8	10	292	21	252	17	15	65	25	82	54	0	41	4	989	12	530	0	0	4	25	46	117	75	16	12	35	152	77	285	47	147	16	140	2	16	55	296	197	64	38	46	32	63	1285
K04095 -  fic; cell filamentation protein	33	331	442	472	596	300	230	18	29	189	292	266	12	130	133	282	326	0	650	374	105	401	0	14	788	143	165	405	743	24	274	446	460	321	705	100	147	245	294	278	349	0	185	103	374	262	306	0	0	251	155	188	304	99	265	426	251	155	433	259	727	286	425	405	5	227	45	65	140	206	158	63	132	382	721
